nombre;descripcion;precio;stock;visible;categorias;etiquetas;talla;color;stock_variante
"Polera deportiva";"Polera ligera y cómoda";59.90;25;1;"Ropa>Poleras";"Nuevo,Oferta";"S,M,L";"Rojo,Azul";10
"Zapatilla running";"Zapatilla para correr";120.00;15;1;"Calzado>Zapatillas";"Importado";"40,41,42";"Negro,Gris";8
"Jeans clásico";"Pantalón de mezclilla azul";89.50;18;1;"Ropa>Pantalones";"Clásico,Casual";"28,30,32,34";"Azul,Negro";12
"Chaqueta invierno";"Chaqueta térmica resistente al agua";199.99;8;1;"Ropa>Chaquetas";"Invierno,Impermeable";"XS,S,M,L,XL";"Verde,Azul marino";5
"Reloj digital";"Reloj deportivo con cronómetro";79.90;12;1;"Accesorios>Relojes";"Deportivo,Resistente";"Único";"Negro,Plata";20
"Mochila escolar";"Mochila resistente con múltiples compartimentos";45.00;22;1;"Accesorios>Mochilas";"Escolar,Resistente";"Única";"Rojo,Azul,Verde";15
"Audífonos bluetooth";"Audífonos inalámbricos con cancelación de ruido";149.90;30;1;"Electrónicos>Audio";"Bluetooth,Cancelación ruido";"Único";"Negro,Blanco";25
"Botella térmica";"Botella de acero inoxidable mantiene temperatura";29.90;35;1;"Hogar>Cocina";"Térmica,Ecológica";"500ml,750ml";"Plateado,Negro,Azul";30
"Smartphone básico";"Teléfono inteligente con cámara dual";299.00;10;1;"Electrónicos>Celulares";"Dual SIM,Cámara";"64GB,128GB";"Negro,Blanco,Dorado";6
"Lámpara LED";"Lámpara de escritorio con regulador de intensidad";39.90;20;1;"Hogar>Iluminación";"LED,Regulable";"Única";"Blanco,Negro";18
"Teclado mecánico";"Teclado gaming con retroiluminación RGB";119.00;14;1;"Electrónicos>Gaming";"Gaming,RGB,Mecánico";"Español,Inglés";"Negro";10
"Plancha vapor";"Plancha a vapor con base antiadherente";69.90;16;1;"Hogar>Electrodomésticos";"Vapor,Antiadherente";"Única";"Blanco,Azul";12